title:Biome Summary Tables
[[toc]]

**Wiki Note:** These tables are intended to be copied, then printed, and used as a quick reference for how many herbs of each type you have while you're playing at your gaming table. We encourage using tally marks in the quantity space, rather than constantly writing and erasing numbers. Keep in mind that some plants are found in multiple biomes. (If your copying doesn't seem to be holding the formatting, try screenshotting the page and printing it as a picture instead.)

+ ##000000|Desert Summary Table##

||~ Quantity ||~ Herb ||~ Effect ||
||  || Barbary Fig || Chewed. 1 + 1/3 level fast healing (max 7) for one minute. Also quenches thirst. ||
||  || Cholla Cactus || 30 foot line that deals 1d6 piercing/level with Reflex for half. ||
||  || Cinderbloom || Rubbed. Ignore the next 8 x level fire damage. 1 minute/level. ||
||  || Creosote Bush || Chewed. Remove all poisons, but nauseated for 4 - 1/6 level rounds. ||
||  || Desert Thorn-Apple || Poison. Deals 1 point of Charisma damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Elderberries || Melee touch attack. On a failed Fortitude save, nauseated for that round. Make a save every round until one is successful. Max duration 1 round + 1 round/level. ||
||  || Flametongue || Weapon oil. Weapon deals an additional 1 + 1/3 level fire damage (max 7) for 1 minute/level. Sheds light. ||
||  || Needlegrass || Thrown weapon. 1d6 piercing damage/level on a successful ranged touch attack. ||
||  || Opium Poppy || Poison. Victim's targets get 3% * level concealment on a failed Fortitude save. At 11th level, denied Dexterity to AC for duration. 1 round/level. ||
||  || Palmer's Agave || Brewed. +1 Alchemical to Strength, -1 penalty to Wisdom. At 5th level and every 5 levels thereafter, bonus increases by 1. Lasts 1 minute/level. ||
||  || Palo Verde Bark || Chewed. Deals 1d3 points of piercing damage plus an additional 1d3 every 5 levels. Lasts for 1 minute/level. ||
||  || Scarlet Pimpernel || Poison. Deals 1 point of Intelligence damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Specifitine || Chewed. Resistance equal to level to the last energy type to strike the chewer. Lasts 1 minute. ||
||  || Spider Milkweed || Poison. Deals 1 point of Constitution damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Ubiquitine || Two uses. 1: Can act as any one other plant in a recipe. Adds +5 to Craft DC. 2: Can duplicate any 1-point plant in possession. ||
||  || Venus Hair Fern || Chewed. 1 + 1/3 level alchemical bonus to saving throws against confusion, sanity effects, and to disbelieve illusions for 1 minute. ||

----

+ ##000000|Forest Summary Table##
||~ Quantity ||~ Herb ||~ Effect ||
||  || Acorn || Chewed. 1 + 1/3 level enhancement bonus to natural armor (max level) for 1 minute/level. ||
||  || Baneberry || Poison. Fatigues victim for 1d4 rounds on a failed Fortitude save. At 11th level, exhausts instead. ||
||  || Black Alder || Chewed. 2 + 1/3 level alchemical bonus to saves against disease for 1 minute. ||
||  || Chimera's Fang || Chewed. Grants a +1 luck bonus to one random quantity for 8 hours. At 5th level and every 5 levels thereafter, another random quantity is determined. Reroll duplicates. At 10th and 20th level, the luck bonus increases by +1. ||
||  || Common Yarrow || Rubbed. Heal 1d8 + 1d8 for every 3 levels past 1st. Heal an additional 1 each round for rounds equal to level. Can harm undead. No saving throw. Stacks in compress. ||
||  || Conkers || Thrown splash weapon. Deals 1d8 + 1d8 acid damage for every two levels beyond 1st to creatures in the square struck with a Reflex save for half. At 5th level, also deals acid damage equal to level to all leather gear worn by those who failed their Reflex save. ||
||  || Destroying Angel || Poison. Deals 2 + 1/2 level Constitution damage on a failed Fortitude save. ||
||  || Dryad's Saddle || Chewed. 2 + 1/2 level alchemical bonus to Ride checks (max +10) for 1 minute/level. ||
||  || Elderberries || Melee touch attack. On a failed Fortitude save, nauseated for that round. Make a save every round until one is successful. Max duration 1 round + 1 round/level. ||
||  || Fool's Parsley || Poison. On a failed Fortitude save, throat seizes up, making speech impossible for 1d4 rounds. ||
||  || Hen of the Woods || Cooked. Feed level /2 (min. 1), granting +2 enhancmeent bonus to initiative rolls. At 5th level and every 5 levels thereafter, bonus increases by +1 (max +6 at 20th level). Lasts 1 hour or until sickened or nauseated. ||
