title:Critical Fumble Deck/Table
[[toc]]

[[module CSS]]
.noselect {
  -webkit-touch-callout: none; /* iOS Safari */
    -webkit-user-select: none; /* Safari */
     -khtml-user-select: none; /* Konqueror HTML */
       -moz-user-select: none; /* Firefox */
        -ms-user-select: none; /* Internet Explorer/Edge */
            user-select: none; /* Non-prefixed version, currently
                                  supported by Chrome and Opera */
}
[[/module]]

[[div class="noselect" style="float:right; width: 20%; padding: 0 2%"]]
[[=]]
[[image http://spheresofpower.wikidot.com/local--files/test-page/Card%20Casting%203%3A%20Volatile%20Variance link="https://www.drivethrurpg.com/en/product/467228/Card-Casting-3-Volatile-Variance"]]
**Card Casting 3: Volatile Variance**
$6.00
----
[[/=]]
[[/div]]

++ The Critical Fumble Deck/Table
As an optional rule to introduce greater chaos into games, DMs may implement the random critical fumble deck effects detailed below. These rules were originally printed on the gamemastery critical fumble deck, but tables without access to that deck may use either a random number generator with 52 possible results or a deck with 52 numbered cards, using the corresponding values on Table: Critical Fumble Card Results to determine what occurs. Certain effects have had their rules text adjusted in the table for greater clarity, compatibility, and consistency.

Critical fumbles may be introduced as a regular part of gameplay or as a negative effect exclusive to certain abilities or drawbacks.

+++ Critical Fumbles
While critical hits are an everyday part of most games, critical fumbles do not have codified rules. For the purpose of this deck or table, you can use any of the following simple methods for determining a critical fumble. While the first is recommended, as it is the one that least penalized players, the latter two are a bit simpler to adjudicate.
* Whenever an attacker rolls a natural 1 on the die, the attack misses and there is the threat of a fumble. The attacker must immediately make a confirmation roll, using their full base attack bonus (and accompanying modifiers). If the attack roll would miss the target, the attacker fumbles and must draw a card from the deck.
* As per option 1, but instead of using the full base attack bonus, the attacker uses the same modifiers as the first roll. If the attack roll would miss the target, the character fumbles and must draw a card from the deck.
* Whenever an attacker rolls a natural 1 on the die, the character fumbles and must draw a card from the deck.

+++ Using the Critical Fumble Deck/Table
Whenever an attacker (be it a PC, NPC, or monster) confirms a critical fumble, draw one card from the deck and apply the result appropriate to the attack type (non-natural melee, ranged, natural, or magic, selecting randomly if multiple different attack types are appropriate). Natural attacks refer to any attack made with a body part, such as a claw, bite, slam, unarmed strike, tail, or wing. Unless otherwise stated, all of these effects are in addition to the attack failing.

+++ Optional Rules
The following are a few examples of optional result you can employ to adjust how the deck/table works in your game.
* If any attacker has Weapon Focus for the chosen weapon, they may draw two cards from the deck and choose one of the results (from their attack type) to apply. A character with Greater Weapon Focus may draw three cards.
* If you are using the Critical Hit Deck/Table, anytime a player scores a critical hit, they can instead roll normal damage and hold on to one card. They can exchange this card at any time to negate a critical fumble.
* Player characters cannot fumble more than once in any combat. All additional attack rolls that result in a natural one on the die are treated as misses.
* If the attacker is not proficient with the weapon used in the attack, they threaten a fumble on a natural 1 or 2 on the die roll.

Unless otherwise noted, all ability bleed for effects on this table is ability damage, not drain. Bleed from any of these effects can be ended by any magical healing or a DC 15 Heal check to provide first aid.

Unless a DC is listed, the DC for any necessary save is equal to the armor class of the attack’s target.

If an effect states “until healed”, this always refers to the additional damage or bleed effect, not the weapon (or spell) damage.

If there are multiple eligible targets for an effect (such as “an ally adjacent to you or the target” or “your ally closest to the target”), roll randomly to determine which is affected.

** Table: Critical Fumble Card Results **
||~ Value ||~ Melee Attack ||~ Ranged Attack ||~ Natural Attack ||~ Spell Attack ||
|| 1 ||You provoke an attack of opportunity from all adjacent opponents || You are fatigued. || You are sickened for 1d4 rounds. || The attack hits you and is a critical threat. You must roll to confirm the critical hit. ||
|| 2 || The attack hits you and is a critical threat. You must roll to confirm the critical hit. || You are knocked prone. || You cannot use this weapon for 1 round. || You take 1d4 Int, Wis, or Cha damage (determined randomly).||
|| 3 || You take a -4 penalty on all attack rolls for 1 round. || Your attack hits your aly closest to the target. || You take 1d4 points of damage and you cannot use this weapon until healed. || You lose one prepared spell, spell slot, or 1d4 spell points (prepared spell or spell slot is determined randomly).||
|| 4 || You take 1 point of bleed damage. || Your ammunition falls from its container and takes 1d6 rounds to gather up. || Your attack hits an ally adjacent to you or the target. || You are fatigued. ||
|| 5 || You are flat-footed for 1 round. || Your weapon (not ammunition) takes 1d6 points of damage, ignoring hardness. || The attack hits you and is a critical threat. You must roll to confirm the critical hit. || You are teleported the nearest square adjacent to the target. ||
|| 6 || You take 1d4 points of Str damage. || You take a -2 penalty to AC for 1d4 rounds. || You take 1 point of bleed damage. || You take 2d6 points of fire damage. ||
|| 7 || You drop your weapon and it lands 1d6 x 5 feet away in a random direction. || You are sickened for 1d4 rounds. || You provoke an attack of opportunity from all adjacent opponents. || The spell hits you instead of the target (normal saves apply). ||
|| 8 || The attack deals damage to you instead of the target. || You are flat-footed for 1 round. || You are knocked prone. || You become entangled in your gear until you spend a standard action to free yourself. ||
|| 9 || You take 1d6 points of bleed. || You drop your weapon. || The attack deals damage to you instead of the target. || Your attack hits your ally closest to the target. ||
|| 10 || You are sickened for 1d4 rounds || You take 1 point of bleed damage || You become entangled in your gear until you spend a standard action to free yourself. || Reroll attack against creature nearest the target (yourself excluded). ||
|| 11 || You are knocked prone. || The attack deals damage to you instead of the target. || You can attack no other target for 1d4 rounds (or until the target is dead). || You take 1 point of bleed damage. ||
|| 12 || Your weapon is destroyed (Ref negates). Magic weapons use their own save bonus. || You take 1 point of Con damage. || You take a -4 penalty on all attack rolls for 1 round. || Your spell is converted to a summon monster spell of the same level (effective level of a sphere effect is equal to half its caster level, to a maximum of 9th for the purpose of determining this spell). The monster attacks you. ||
|| 13 || You become entangled in your gear until you spend a standard action to free yourself. || You take 1d4 points of Dex damage. || You take 1d6 points of bleed damage. || You are sickened for 1d4 rounds. ||
|| 14 || You are fatigued. || Reroll attack against creature nearest the target (yourself excluded). || You take a -2 penalty to AC for 1d4 rounds. || You take 1d6 points of bleed damage. ||
|| 15 || You drop your weapon. || If attack was made with a bow or crossbow, the string breaks and requires 1d3 rounds to fix. || You take 1 point of Str drain (Fort negates). || You cannot cast any spells for 1 round. ||
|| 16 || You take 1d4 points of Dex damage. || You become entangled in your gear until you spend a standard action to free yourself. || You are flat-footed for 1 round. || You take 2d6 points of cold damage. ||
|| 17 || You take a -2 penalty to AC for 1d4 rounds. || The attack hits you and is a critical threat. You must roll to confirm the critical hit. || You are fatigued. || You take 2d6 points of acid damage. ||
|| 18 || Your weapon takes 1d6 points of damage, ignoring hardness. || You take 1d6 points of bleed damage. || You take 1d4 points of Str damage. || You take 2d6 points of electricity damage. ||
|| 19 || Your attack hits an ally adjacent to you or the target. || You take a -4 penalty on all attack rolls for 1 round. || You take 1d4 points of Dex damage. || You take a -2 penalty to all of your spell DCs for 1d4 minutes. ||
